2000000
code	freq(hz)
0x414	119.61722488038278
0x415	119.50286806883365
0x416	119.38872970391596
0x417	119.27480916030534
0x418	119.16110581506196
0x419	119.04761904761905
0x41a	118.93434823977165
0x41b	118.8212927756654
0x41c	118.70845204178538
0x41d	118.59582542694497
0x41e	118.48341232227489
0x41f	118.37121212121212
0x420	118.25922421948913
0x421	118.14744801512288
0x422	118.03588290840416
0x423	117.9245283018868
0x424	117.81338360037701
0x425	117.70244821092278
0x426	117.59172154280338
0x427	117.4812030075188
0x428	117.37089201877934
0x429	117.26078799249531
0x42a	117.15089034676663
0x42b	117.04119850187266
0x42c	116.93171188026193
0x42d	116.82242990654206
0x42e	116.71335200746965
0x42f	116.6044776119403
0x430	116.49580615097857
0x431	116.38733705772812
0x432	116.27906976744185
0x433	116.17100371747212
0x434	116.0631383472609
0x435	115.95547309833024
0x436	115.84800741427247
0x437	115.74074074074075
0x438	115.63367252543941
0x439	115.5268022181146
0x43a	115.42012927054478
0x43b	115.31365313653137
0x43c	115.2073732718894
0x43d	115.1012891344383
0x43e	114.99540018399264
0x43f	114.88970588235294
0x440	114.7842056932966
0x441	114.6788990825688
0x442	114.57378551787352
0x443	114.46886446886447
0x444	114.36413540713632
